"Absolute Path","Relative Path","Label"
"D:/PPLabs/lab3/Rnd\857.text","lab3\Rnd\857.text","1"
"D:/PPLabs/lab3/Rnd\8489.text","lab3\Rnd\8489.text","1"
"D:/PPLabs/lab3/Rnd\8850.text","lab3\Rnd\8850.text","1"
"D:/PPLabs/lab3/Rnd\9418.text","lab3\Rnd\9418.text","1"
"D:/PPLabs/lab3/Rnd\1954.text","lab3\Rnd\1954.text","1"
"D:/PPLabs/lab3/Rnd\1724.text","lab3\Rnd\1724.text","1"
"D:/PPLabs/lab3/Rnd\5300.text","lab3\Rnd\5300.text","1"
"D:/PPLabs/lab3/Rnd\7642.text","lab3\Rnd\7642.text","1"
"D:/PPLabs/lab3/Rnd\8039.text","lab3\Rnd\8039.text","1"
"D:/PPLabs/lab3/Rnd\3294.text","lab3\Rnd\3294.text","1"
"D:/PPLabs/lab3/Rnd\3948.text","lab3\Rnd\3948.text","1"
"D:/PPLabs/lab3/Rnd\7046.text","lab3\Rnd\7046.text","1"
"D:/PPLabs/lab3/Rnd\7671.text","lab3\Rnd\7671.text","1"
"D:/PPLabs/lab3/Rnd\629.text","lab3\Rnd\629.text","1"
"D:/PPLabs/lab3/Rnd\3720.text","lab3\Rnd\3720.text","1"
"D:/PPLabs/lab3/Rnd\554.text","lab3\Rnd\554.text","1"
"D:/PPLabs/lab3/Rnd\3435.text","lab3\Rnd\3435.text","1"
"D:/PPLabs/lab3/Rnd\6096.text","lab3\Rnd\6096.text","1"
"D:/PPLabs/lab3/Rnd\8932.text","lab3\Rnd\8932.text","1"
"D:/PPLabs/lab3/Rnd\3743.text","lab3\Rnd\3743.text","1"
"D:/PPLabs/lab3/Rnd\5573.text","lab3\Rnd\5573.text","1"
"D:/PPLabs/lab3/Rnd\1158.text","lab3\Rnd\1158.text","1"
"D:/PPLabs/lab3/Rnd\639.text","lab3\Rnd\639.text","1"
"D:/PPLabs/lab3/Rnd\2802.text","lab3\Rnd\2802.text","1"
"D:/PPLabs/lab3/Rnd\7933.text","lab3\Rnd\7933.text","1"
"D:/PPLabs/lab3/Rnd\2306.text","lab3\Rnd\2306.text","1"
"D:/PPLabs/lab3/Rnd\2933.text","lab3\Rnd\2933.text","1"
"D:/PPLabs/lab3/Rnd\824.text","lab3\Rnd\824.text","1"
"D:/PPLabs/lab3/Rnd\7271.text","lab3\Rnd\7271.text","1"
"D:/PPLabs/lab3/Rnd\9801.text","lab3\Rnd\9801.text","1"
"D:/PPLabs/lab3/Rnd\8420.text","lab3\Rnd\8420.text","1"
"D:/PPLabs/lab3/Rnd\6464.text","lab3\Rnd\6464.text","1"
"D:/PPLabs/lab3/Rnd\5133.text","lab3\Rnd\5133.text","1"
"D:/PPLabs/lab3/Rnd\6600.text","lab3\Rnd\6600.text","1"
"D:/PPLabs/lab3/Rnd\3704.text","lab3\Rnd\3704.text","1"
"D:/PPLabs/lab3/Rnd\8638.text","lab3\Rnd\8638.text","1"
"D:/PPLabs/lab3/Rnd\3298.text","lab3\Rnd\3298.text","1"
"D:/PPLabs/lab3/Rnd\7650.text","lab3\Rnd\7650.text","1"
"D:/PPLabs/lab3/Rnd\7926.text","lab3\Rnd\7926.text","1"
"D:/PPLabs/lab3/Rnd\6428.text","lab3\Rnd\6428.text","1"
"D:/PPLabs/lab3/Rnd\6137.text","lab3\Rnd\6137.text","1"
"D:/PPLabs/lab3/Rnd\5606.text","lab3\Rnd\5606.text","1"
"D:/PPLabs/lab3/Rnd\5593.text","lab3\Rnd\5593.text","1"
"D:/PPLabs/lab3/Rnd\9350.text","lab3\Rnd\9350.text","1"
"D:/PPLabs/lab3/Rnd\6316.text","lab3\Rnd\6316.text","1"
"D:/PPLabs/lab3/Rnd\7449.text","lab3\Rnd\7449.text","1"
"D:/PPLabs/lab3/Rnd\2492.text","lab3\Rnd\2492.text","1"
"D:/PPLabs/lab3/Rnd\2960.text","lab3\Rnd\2960.text","1"
"D:/PPLabs/lab3/Rnd\5704.text","lab3\Rnd\5704.text","1"
"D:/PPLabs/lab3/Rnd\5147.text","lab3\Rnd\5147.text","1"
"D:/PPLabs/lab3/Rnd\8690.text","lab3\Rnd\8690.text","1"
"D:/PPLabs/lab3/Rnd\9223.text","lab3\Rnd\9223.text","1"
"D:/PPLabs/lab3/Rnd\8979.text","lab3\Rnd\8979.text","1"
"D:/PPLabs/lab3/Rnd\363.text","lab3\Rnd\363.text","1"
"D:/PPLabs/lab3/Rnd\8718.text","lab3\Rnd\8718.text","1"
"D:/PPLabs/lab3/Rnd\1323.text","lab3\Rnd\1323.text","1"
"D:/PPLabs/lab3/Rnd\4763.text","lab3\Rnd\4763.text","1"
"D:/PPLabs/lab3/Rnd\115.text","lab3\Rnd\115.text","1"
"D:/PPLabs/lab3/Rnd\2560.text","lab3\Rnd\2560.text","1"
"D:/PPLabs/lab3/Rnd\2040.text","lab3\Rnd\2040.text","1"
"D:/PPLabs/lab3/Rnd\6688.text","lab3\Rnd\6688.text","1"
"D:/PPLabs/lab3/Rnd\9354.text","lab3\Rnd\9354.text","1"
"D:/PPLabs/lab3/Rnd\3417.text","lab3\Rnd\3417.text","1"
"D:/PPLabs/lab3/Rnd\9239.text","lab3\Rnd\9239.text","1"
"D:/PPLabs/lab3/Rnd\5209.text","lab3\Rnd\5209.text","1"
"D:/PPLabs/lab3/Rnd\3646.text","lab3\Rnd\3646.text","1"
"D:/PPLabs/lab3/Rnd\6489.text","lab3\Rnd\6489.text","1"
"D:/PPLabs/lab3/Rnd\559.text","lab3\Rnd\559.text","1"
"D:/PPLabs/lab3/Rnd\8339.text","lab3\Rnd\8339.text","1"
"D:/PPLabs/lab3/Rnd\3264.text","lab3\Rnd\3264.text","1"
"D:/PPLabs/lab3/Rnd\4324.text","lab3\Rnd\4324.text","1"
"D:/PPLabs/lab3/Rnd\1537.text","lab3\Rnd\1537.text","1"
"D:/PPLabs/lab3/Rnd\8535.text","lab3\Rnd\8535.text","1"
"D:/PPLabs/lab3/Rnd\3065.text","lab3\Rnd\3065.text","1"
"D:/PPLabs/lab3/Rnd\3796.text","lab3\Rnd\3796.text","1"
"D:/PPLabs/lab3/Rnd\3253.text","lab3\Rnd\3253.text","1"
"D:/PPLabs/lab3/Rnd\1790.text","lab3\Rnd\1790.text","1"
"D:/PPLabs/lab3/Rnd\8943.text","lab3\Rnd\8943.text","1"
"D:/PPLabs/lab3/Rnd\6558.text","lab3\Rnd\6558.text","1"
"D:/PPLabs/lab3/Rnd\7612.text","lab3\Rnd\7612.text","1"
"D:/PPLabs/lab3/Rnd\8423.text","lab3\Rnd\8423.text","1"
"D:/PPLabs/lab3/Rnd\6285.text","lab3\Rnd\6285.text","1"
"D:/PPLabs/lab3/Rnd\8799.text","lab3\Rnd\8799.text","1"
"D:/PPLabs/lab3/Rnd\2225.text","lab3\Rnd\2225.text","1"
"D:/PPLabs/lab3/Rnd\2058.text","lab3\Rnd\2058.text","1"
"D:/PPLabs/lab3/Rnd\7959.text","lab3\Rnd\7959.text","1"
"D:/PPLabs/lab3/Rnd\7078.text","lab3\Rnd\7078.text","1"
"D:/PPLabs/lab3/Rnd\8404.text","lab3\Rnd\8404.text","1"
"D:/PPLabs/lab3/Rnd\9836.text","lab3\Rnd\9836.text","1"
"D:/PPLabs/lab3/Rnd\1168.text","lab3\Rnd\1168.text","1"
"D:/PPLabs/lab3/Rnd\9325.text","lab3\Rnd\9325.text","1"
"D:/PPLabs/lab3/Rnd\8589.text","lab3\Rnd\8589.text","1"
"D:/PPLabs/lab3/Rnd\9516.text","lab3\Rnd\9516.text","1"
"D:/PPLabs/lab3/Rnd\5533.text","lab3\Rnd\5533.text","1"
"D:/PPLabs/lab3/Rnd\7338.text","lab3\Rnd\7338.text","1"
"D:/PPLabs/lab3/Rnd\5325.text","lab3\Rnd\5325.text","1"
"D:/PPLabs/lab3/Rnd\5797.text","lab3\Rnd\5797.text","1"
"D:/PPLabs/lab3/Rnd\8861.text","lab3\Rnd\8861.text","1"
"D:/PPLabs/lab3/Rnd\7988.text","lab3\Rnd\7988.text","1"
"D:/PPLabs/lab3/Rnd\952.text","lab3\Rnd\952.text","1"
"D:/PPLabs/lab3/Rnd\1240.text","lab3\Rnd\1240.text","1"
"D:/PPLabs/lab3/Rnd\2213.text","lab3\Rnd\2213.text","1"
"D:/PPLabs/lab3/Rnd\1239.text","lab3\Rnd\1239.text","1"
"D:/PPLabs/lab3/Rnd\894.text","lab3\Rnd\894.text","1"
"D:/PPLabs/lab3/Rnd\391.text","lab3\Rnd\391.text","1"
"D:/PPLabs/lab3/Rnd\2471.text","lab3\Rnd\2471.text","1"
"D:/PPLabs/lab3/Rnd\9852.text","lab3\Rnd\9852.text","1"
"D:/PPLabs/lab3/Rnd\9576.text","lab3\Rnd\9576.text","1"
"D:/PPLabs/lab3/Rnd\1009.text","lab3\Rnd\1009.text","1"
"D:/PPLabs/lab3/Rnd\9729.text","lab3\Rnd\9729.text","1"
"D:/PPLabs/lab3/Rnd\6903.text","lab3\Rnd\6903.text","1"
"D:/PPLabs/lab3/Rnd\9594.text","lab3\Rnd\9594.text","1"
"D:/PPLabs/lab3/Rnd\9266.text","lab3\Rnd\9266.text","1"
"D:/PPLabs/lab3/Rnd\7791.text","lab3\Rnd\7791.text","1"
"D:/PPLabs/lab3/Rnd\8795.text","lab3\Rnd\8795.text","1"
"D:/PPLabs/lab3/Rnd\345.text","lab3\Rnd\345.text","1"
"D:/PPLabs/lab3/Rnd\4349.text","lab3\Rnd\4349.text","1"
"D:/PPLabs/lab3/Rnd\8204.text","lab3\Rnd\8204.text","1"
"D:/PPLabs/lab3/Rnd\4701.text","lab3\Rnd\4701.text","1"
"D:/PPLabs/lab3/Rnd\4700.text","lab3\Rnd\4700.text","1"
"D:/PPLabs/lab3/Rnd\7794.text","lab3\Rnd\7794.text","1"
"D:/PPLabs/lab3/Rnd\6263.text","lab3\Rnd\6263.text","1"
"D:/PPLabs/lab3/Rnd\8752.text","lab3\Rnd\8752.text","1"
"D:/PPLabs/lab3/Rnd\9219.text","lab3\Rnd\9219.text","1"
"D:/PPLabs/lab3/Rnd\4735.text","lab3\Rnd\4735.text","1"
"D:/PPLabs/lab3/Rnd\1652.text","lab3\Rnd\1652.text","1"
"D:/PPLabs/lab3/Rnd\4039.text","lab3\Rnd\4039.text","1"
"D:/PPLabs/lab3/Rnd\5741.text","lab3\Rnd\5741.text","1"
"D:/PPLabs/lab3/Rnd\8164.text","lab3\Rnd\8164.text","1"
"D:/PPLabs/lab3/Rnd\8900.text","lab3\Rnd\8900.text","1"
"D:/PPLabs/lab3/Rnd\8736.text","lab3\Rnd\8736.text","1"
"D:/PPLabs/lab3/Rnd\8115.text","lab3\Rnd\8115.text","1"
"D:/PPLabs/lab3/Rnd\1343.text","lab3\Rnd\1343.text","1"
"D:/PPLabs/lab3/Rnd\3643.text","lab3\Rnd\3643.text","1"
"D:/PPLabs/lab3/Rnd\222.text","lab3\Rnd\222.text","1"
"D:/PPLabs/lab3/Rnd\3978.text","lab3\Rnd\3978.text","1"
"D:/PPLabs/lab3/Rnd\9737.text","lab3\Rnd\9737.text","1"
"D:/PPLabs/lab3/Rnd\8071.text","lab3\Rnd\8071.text","1"
"D:/PPLabs/lab3/Rnd\9186.text","lab3\Rnd\9186.text","1"
"D:/PPLabs/lab3/Rnd\1662.text","lab3\Rnd\1662.text","1"
"D:/PPLabs/lab3/Rnd\5174.text","lab3\Rnd\5174.text","1"
"D:/PPLabs/lab3/Rnd\5009.text","lab3\Rnd\5009.text","1"
"D:/PPLabs/lab3/Rnd\3771.text","lab3\Rnd\3771.text","1"
"D:/PPLabs/lab3/Rnd\1548.text","lab3\Rnd\1548.text","1"
"D:/PPLabs/lab3/Rnd\1952.text","lab3\Rnd\1952.text","1"
"D:/PPLabs/lab3/Rnd\8273.text","lab3\Rnd\8273.text","1"
"D:/PPLabs/lab3/Rnd\1767.text","lab3\Rnd\1767.text","1"
"D:/PPLabs/lab3/Rnd\3754.text","lab3\Rnd\3754.text","1"
"D:/PPLabs/lab3/Rnd\3928.text","lab3\Rnd\3928.text","1"
"D:/PPLabs/lab3/Rnd\9148.text","lab3\Rnd\9148.text","1"
"D:/PPLabs/lab3/Rnd\1572.text","lab3\Rnd\1572.text","1"
"D:/PPLabs/lab3/Rnd\6159.text","lab3\Rnd\6159.text","1"
"D:/PPLabs/lab3/Rnd\9508.text","lab3\Rnd\9508.text","1"
"D:/PPLabs/lab3/Rnd\4285.text","lab3\Rnd\4285.text","1"
"D:/PPLabs/lab3/Rnd\7445.text","lab3\Rnd\7445.text","1"
"D:/PPLabs/lab3/Rnd\8474.text","lab3\Rnd\8474.text","1"
"D:/PPLabs/lab3/Rnd\4962.text","lab3\Rnd\4962.text","1"
"D:/PPLabs/lab3/Rnd\7889.text","lab3\Rnd\7889.text","1"
"D:/PPLabs/lab3/Rnd\6883.text","lab3\Rnd\6883.text","1"
"D:/PPLabs/lab3/Rnd\2769.text","lab3\Rnd\2769.text","1"
"D:/PPLabs/lab3/Rnd\2925.text","lab3\Rnd\2925.text","1"
"D:/PPLabs/lab3/Rnd\7705.text","lab3\Rnd\7705.text","1"
"D:/PPLabs/lab3/Rnd\1305.text","lab3\Rnd\1305.text","1"
"D:/PPLabs/lab3/Rnd\2798.text","lab3\Rnd\2798.text","1"
"D:/PPLabs/lab3/Rnd\2356.text","lab3\Rnd\2356.text","1"
"D:/PPLabs/lab3/Rnd\5991.text","lab3\Rnd\5991.text","1"
"D:/PPLabs/lab3/Rnd\9346.text","lab3\Rnd\9346.text","1"
"D:/PPLabs/lab3/Rnd\3622.text","lab3\Rnd\3622.text","1"
"D:/PPLabs/lab3/Rnd\5995.text","lab3\Rnd\5995.text","1"
"D:/PPLabs/lab3/Rnd\7752.text","lab3\Rnd\7752.text","1"
"D:/PPLabs/lab3/Rnd\4933.text","lab3\Rnd\4933.text","1"
"D:/PPLabs/lab3/Rnd\9810.text","lab3\Rnd\9810.text","1"
"D:/PPLabs/lab3/Rnd\7535.text","lab3\Rnd\7535.text","1"
"D:/PPLabs/lab3/Rnd\2834.text","lab3\Rnd\2834.text","1"
"D:/PPLabs/lab3/Rnd\1549.text","lab3\Rnd\1549.text","1"
"D:/PPLabs/lab3/Rnd\9855.text","lab3\Rnd\9855.text","1"
"D:/PPLabs/lab3/Rnd\4295.text","lab3\Rnd\4295.text","1"
"D:/PPLabs/lab3/Rnd\6873.text","lab3\Rnd\6873.text","1"
"D:/PPLabs/lab3/Rnd\5487.text","lab3\Rnd\5487.text","1"
"D:/PPLabs/lab3/Rnd\9175.text","lab3\Rnd\9175.text","1"
"D:/PPLabs/lab3/Rnd\9989.text","lab3\Rnd\9989.text","1"
"D:/PPLabs/lab3/Rnd\236.text","lab3\Rnd\236.text","1"
"D:/PPLabs/lab3/Rnd\2157.text","lab3\Rnd\2157.text","1"
"D:/PPLabs/lab3/Rnd\3638.text","lab3\Rnd\3638.text","1"
"D:/PPLabs/lab3/Rnd\7774.text","lab3\Rnd\7774.text","1"
"D:/PPLabs/lab3/Rnd\9606.text","lab3\Rnd\9606.text","1"
"D:/PPLabs/lab3/Rnd\2134.text","lab3\Rnd\2134.text","1"
"D:/PPLabs/lab3/Rnd\2251.text","lab3\Rnd\2251.text","1"
"D:/PPLabs/lab3/Rnd\6384.text","lab3\Rnd\6384.text","1"
"D:/PPLabs/lab3/Rnd\171.text","lab3\Rnd\171.text","1"
"D:/PPLabs/lab3/Rnd\1336.text","lab3\Rnd\1336.text","1"
"D:/PPLabs/lab3/Rnd\1261.text","lab3\Rnd\1261.text","1"
"D:/PPLabs/lab3/Rnd\3512.text","lab3\Rnd\3512.text","1"
"D:/PPLabs/lab3/Rnd\3854.text","lab3\Rnd\3854.text","1"
"D:/PPLabs/lab3/Rnd\9417.text","lab3\Rnd\9417.text","1"
"D:/PPLabs/lab3/Rnd\9982.text","lab3\Rnd\9982.text","1"
"D:/PPLabs/lab3/Rnd\8256.text","lab3\Rnd\8256.text","1"
"D:/PPLabs/lab3/Rnd\1421.text","lab3\Rnd\1421.text","1"
"D:/PPLabs/lab3/Rnd\6420.text","lab3\Rnd\6420.text","1"
"D:/PPLabs/lab3/Rnd\3993.text","lab3\Rnd\3993.text","1"
"D:/PPLabs/lab3/Rnd\2626.text","lab3\Rnd\2626.text","1"
"D:/PPLabs/lab3/Rnd\9898.text","lab3\Rnd\9898.text","1"
"D:/PPLabs/lab3/Rnd\7052.text","lab3\Rnd\7052.text","1"
"D:/PPLabs/lab3/Rnd\7284.text","lab3\Rnd\7284.text","1"
"D:/PPLabs/lab3/Rnd\2527.text","lab3\Rnd\2527.text","1"
"D:/PPLabs/lab3/Rnd\7368.text","lab3\Rnd\7368.text","1"
"D:/PPLabs/lab3/Rnd\4271.text","lab3\Rnd\4271.text","1"
"D:/PPLabs/lab3/Rnd\2175.text","lab3\Rnd\2175.text","1"
"D:/PPLabs/lab3/Rnd\3480.text","lab3\Rnd\3480.text","1"
"D:/PPLabs/lab3/Rnd\5806.text","lab3\Rnd\5806.text","1"
"D:/PPLabs/lab3/Rnd\3367.text","lab3\Rnd\3367.text","1"
"D:/PPLabs/lab3/Rnd\2829.text","lab3\Rnd\2829.text","1"
"D:/PPLabs/lab3/Rnd\9547.text","lab3\Rnd\9547.text","1"
"D:/PPLabs/lab3/Rnd\949.text","lab3\Rnd\949.text","1"
"D:/PPLabs/lab3/Rnd\7038.text","lab3\Rnd\7038.text","1"
"D:/PPLabs/lab3/Rnd\3775.text","lab3\Rnd\3775.text","1"
"D:/PPLabs/lab3/Rnd\5519.text","lab3\Rnd\5519.text","1"
"D:/PPLabs/lab3/Rnd\6375.text","lab3\Rnd\6375.text","1"
"D:/PPLabs/lab3/Rnd\9827.text","lab3\Rnd\9827.text","1"
"D:/PPLabs/lab3/Rnd\1664.text","lab3\Rnd\1664.text","1"
"D:/PPLabs/lab3/Rnd\7479.text","lab3\Rnd\7479.text","1"
"D:/PPLabs/lab3/Rnd\3413.text","lab3\Rnd\3413.text","1"
"D:/PPLabs/lab3/Rnd\4162.text","lab3\Rnd\4162.text","1"
"D:/PPLabs/lab3/Rnd\3959.text","lab3\Rnd\3959.text","1"
"D:/PPLabs/lab3/Rnd\8723.text","lab3\Rnd\8723.text","1"
"D:/PPLabs/lab3/Rnd\6893.text","lab3\Rnd\6893.text","1"
"D:/PPLabs/lab3/Rnd\2292.text","lab3\Rnd\2292.text","1"
"D:/PPLabs/lab3/Rnd\357.text","lab3\Rnd\357.text","1"
"D:/PPLabs/lab3/Rnd\3295.text","lab3\Rnd\3295.text","1"
"D:/PPLabs/lab3/Rnd\2276.text","lab3\Rnd\2276.text","1"
"D:/PPLabs/lab3/Rnd\5426.text","lab3\Rnd\5426.text","1"
"D:/PPLabs/lab3/Rnd\24.text","lab3\Rnd\24.text","1"
"D:/PPLabs/lab3/Rnd\3536.text","lab3\Rnd\3536.text","1"
"D:/PPLabs/lab3/Rnd\6695.text","lab3\Rnd\6695.text","1"
"D:/PPLabs/lab3/Rnd\5529.text","lab3\Rnd\5529.text","1"
"D:/PPLabs/lab3/Rnd\1381.text","lab3\Rnd\1381.text","1"
"D:/PPLabs/lab3/Rnd\5339.text","lab3\Rnd\5339.text","1"
"D:/PPLabs/lab3/Rnd\245.text","lab3\Rnd\245.text","1"
"D:/PPLabs/lab3/Rnd\6114.text","lab3\Rnd\6114.text","1"
"D:/PPLabs/lab3/Rnd\7414.text","lab3\Rnd\7414.text","1"
"D:/PPLabs/lab3/Rnd\7687.text","lab3\Rnd\7687.text","1"
"D:/PPLabs/lab3/Rnd\158.text","lab3\Rnd\158.text","1"
"D:/PPLabs/lab3/Rnd\4588.text","lab3\Rnd\4588.text","1"
"D:/PPLabs/lab3/Rnd\2623.text","lab3\Rnd\2623.text","1"
"D:/PPLabs/lab3/Rnd\1922.text","lab3\Rnd\1922.text","1"
"D:/PPLabs/lab3/Rnd\6268.text","lab3\Rnd\6268.text","1"
"D:/PPLabs/lab3/Rnd\7811.text","lab3\Rnd\7811.text","1"
"D:/PPLabs/lab3/Rnd\4066.text","lab3\Rnd\4066.text","1"
"D:/PPLabs/lab3/Rnd\6402.text","lab3\Rnd\6402.text","1"
"D:/PPLabs/lab3/Rnd\8635.text","lab3\Rnd\8635.text","1"
"D:/PPLabs/lab3/Rnd\4628.text","lab3\Rnd\4628.text","1"
"D:/PPLabs/lab3/Rnd\1229.text","lab3\Rnd\1229.text","1"
"D:/PPLabs/lab3/Rnd\5734.text","lab3\Rnd\5734.text","1"
"D:/PPLabs/lab3/Rnd\1789.text","lab3\Rnd\1789.text","1"
"D:/PPLabs/lab3/Rnd\8219.text","lab3\Rnd\8219.text","1"
"D:/PPLabs/lab3/Rnd\8536.text","lab3\Rnd\8536.text","1"
"D:/PPLabs/lab3/Rnd\7277.text","lab3\Rnd\7277.text","1"
"D:/PPLabs/lab3/Rnd\8236.text","lab3\Rnd\8236.text","1"
"D:/PPLabs/lab3/Rnd\3035.text","lab3\Rnd\3035.text","1"
"D:/PPLabs/lab3/Rnd\2577.text","lab3\Rnd\2577.text","1"
"D:/PPLabs/lab3/Rnd\3018.text","lab3\Rnd\3018.text","1"
"D:/PPLabs/lab3/Rnd\1581.text","lab3\Rnd\1581.text","1"
"D:/PPLabs/lab3/Rnd\6267.text","lab3\Rnd\6267.text","1"
"D:/PPLabs/lab3/Rnd\8442.text","lab3\Rnd\8442.text","1"
"D:/PPLabs/lab3/Rnd\4567.text","lab3\Rnd\4567.text","1"
"D:/PPLabs/lab3/Rnd\4321.text","lab3\Rnd\4321.text","1"
"D:/PPLabs/lab3/Rnd\3545.text","lab3\Rnd\3545.text","1"
"D:/PPLabs/lab3/Rnd\7707.text","lab3\Rnd\7707.text","1"
"D:/PPLabs/lab3/Rnd\5980.text","lab3\Rnd\5980.text","1"
"D:/PPLabs/lab3/Rnd\2499.text","lab3\Rnd\2499.text","1"
"D:/PPLabs/lab3/Rnd\7416.text","lab3\Rnd\7416.text","1"
"D:/PPLabs/lab3/Rnd\1320.text","lab3\Rnd\1320.text","1"
"D:/PPLabs/lab3/Rnd\2641.text","lab3\Rnd\2641.text","1"
"D:/PPLabs/lab3/Rnd\6028.text","lab3\Rnd\6028.text","1"
"D:/PPLabs/lab3/Rnd\2445.text","lab3\Rnd\2445.text","1"
"D:/PPLabs/lab3/Rnd\5809.text","lab3\Rnd\5809.text","1"
"D:/PPLabs/lab3/Rnd\3530.text","lab3\Rnd\3530.text","1"
"D:/PPLabs/lab3/Rnd\1135.text","lab3\Rnd\1135.text","1"
"D:/PPLabs/lab3/Rnd\386.text","lab3\Rnd\386.text","1"
"D:/PPLabs/lab3/Rnd\2677.text","lab3\Rnd\2677.text","1"
"D:/PPLabs/lab3/Rnd\2850.text","lab3\Rnd\2850.text","1"
"D:/PPLabs/lab3/Rnd\4517.text","lab3\Rnd\4517.text","1"
"D:/PPLabs/lab3/Rnd\3355.text","lab3\Rnd\3355.text","1"
"D:/PPLabs/lab3/Rnd\9524.text","lab3\Rnd\9524.text","1"
"D:/PPLabs/lab3/Rnd\6296.text","lab3\Rnd\6296.text","1"
"D:/PPLabs/lab3/Rnd\4211.text","lab3\Rnd\4211.text","1"
"D:/PPLabs/lab3/Rnd\213.text","lab3\Rnd\213.text","1"
"D:/PPLabs/lab3/Rnd\8252.text","lab3\Rnd\8252.text","1"
"D:/PPLabs/lab3/Rnd\1616.text","lab3\Rnd\1616.text","1"
"D:/PPLabs/lab3/Rnd\9924.text","lab3\Rnd\9924.text","1"
"D:/PPLabs/lab3/Rnd\4569.text","lab3\Rnd\4569.text","1"
"D:/PPLabs/lab3/Rnd\9245.text","lab3\Rnd\9245.text","1"
"D:/PPLabs/lab3/Rnd\5598.text","lab3\Rnd\5598.text","1"
"D:/PPLabs/lab3/Rnd\7409.text","lab3\Rnd\7409.text","1"
"D:/PPLabs/lab3/Rnd\687.text","lab3\Rnd\687.text","1"
"D:/PPLabs/lab3/Rnd\2355.text","lab3\Rnd\2355.text","1"
"D:/PPLabs/lab3/Rnd\9408.text","lab3\Rnd\9408.text","1"
"D:/PPLabs/lab3/Rnd\9376.text","lab3\Rnd\9376.text","1"
"D:/PPLabs/lab3/Rnd\2391.text","lab3\Rnd\2391.text","1"
"D:/PPLabs/lab3/Rnd\7305.text","lab3\Rnd\7305.text","1"
"D:/PPLabs/lab3/Rnd\5019.text","lab3\Rnd\5019.text","1"
"D:/PPLabs/lab3/Rnd\2652.text","lab3\Rnd\2652.text","1"
"D:/PPLabs/lab3/Rnd\7674.text","lab3\Rnd\7674.text","1"
"D:/PPLabs/lab3/Rnd\8999.text","lab3\Rnd\8999.text","1"
"D:/PPLabs/lab3/Rnd\6945.text","lab3\Rnd\6945.text","1"
"D:/PPLabs/lab3/Rnd\2072.text","lab3\Rnd\2072.text","1"
"D:/PPLabs/lab3/Rnd\9181.text","lab3\Rnd\9181.text","1"
"D:/PPLabs/lab3/Rnd\7274.text","lab3\Rnd\7274.text","1"
"D:/PPLabs/lab3/Rnd\1210.text","lab3\Rnd\1210.text","1"
"D:/PPLabs/lab3/Rnd\7203.text","lab3\Rnd\7203.text","1"
"D:/PPLabs/lab3/Rnd\422.text","lab3\Rnd\422.text","1"
"D:/PPLabs/lab3/Rnd\1288.text","lab3\Rnd\1288.text","1"
"D:/PPLabs/lab3/Rnd\823.text","lab3\Rnd\823.text","1"
"D:/PPLabs/lab3/Rnd\6184.text","lab3\Rnd\6184.text","1"
"D:/PPLabs/lab3/Rnd\7367.text","lab3\Rnd\7367.text","1"
"D:/PPLabs/lab3/Rnd\6620.text","lab3\Rnd\6620.text","1"
"D:/PPLabs/lab3/Rnd\7176.text","lab3\Rnd\7176.text","1"
"D:/PPLabs/lab3/Rnd\1504.text","lab3\Rnd\1504.text","1"
"D:/PPLabs/lab3/Rnd\7689.text","lab3\Rnd\7689.text","1"
"D:/PPLabs/lab3/Rnd\8194.text","lab3\Rnd\8194.text","1"
"D:/PPLabs/lab3/Rnd\9453.text","lab3\Rnd\9453.text","1"
"D:/PPLabs/lab3/Rnd\1327.text","lab3\Rnd\1327.text","1"
"D:/PPLabs/lab3/Rnd\2799.text","lab3\Rnd\2799.text","1"
"D:/PPLabs/lab3/Rnd\8804.text","lab3\Rnd\8804.text","1"
"D:/PPLabs/lab3/Rnd\4202.text","lab3\Rnd\4202.text","1"
"D:/PPLabs/lab3/Rnd\7839.text","lab3\Rnd\7839.text","1"
"D:/PPLabs/lab3/Rnd\3706.text","lab3\Rnd\3706.text","1"
"D:/PPLabs/lab3/Rnd\8294.text","lab3\Rnd\8294.text","1"
"D:/PPLabs/lab3/Rnd\7153.text","lab3\Rnd\7153.text","1"
"D:/PPLabs/lab3/Rnd\3581.text","lab3\Rnd\3581.text","1"
"D:/PPLabs/lab3/Rnd\8113.text","lab3\Rnd\8113.text","1"
"D:/PPLabs/lab3/Rnd\9608.text","lab3\Rnd\9608.text","1"
"D:/PPLabs/lab3/Rnd\8452.text","lab3\Rnd\8452.text","1"
"D:/PPLabs/lab3/Rnd\7223.text","lab3\Rnd\7223.text","1"
"D:/PPLabs/lab3/Rnd\7505.text","lab3\Rnd\7505.text","1"
"D:/PPLabs/lab3/Rnd\9124.text","lab3\Rnd\9124.text","1"
"D:/PPLabs/lab3/Rnd\2118.text","lab3\Rnd\2118.text","1"
"D:/PPLabs/lab3/Rnd\8145.text","lab3\Rnd\8145.text","1"
"D:/PPLabs/lab3/Rnd\3178.text","lab3\Rnd\3178.text","1"
"D:/PPLabs/lab3/Rnd\514.text","lab3\Rnd\514.text","1"
"D:/PPLabs/lab3/Rnd\2.text","lab3\Rnd\2.text","1"
"D:/PPLabs/lab3/Rnd\8653.text","lab3\Rnd\8653.text","1"
